SNO,NAME OF COMPANY,SYMBOL
922,Melstar Information Technologies Limited,MELSTAR
923,Menon Bearings Limited,MENONBE
924,MEP Infrastructure Developers Limited,MEP
925,Mercator Limited,MERCATOR
926,Metalyst Forgings Limited,METALFORGE
927,Metkore Alloys & Industries Limited,METKORE
928,Metropolis Healthcare Limited,METROPOLIS
929,Max Financial Services Limited,MFSL
930,Mahanagar Gas Limited,MGL
931,Mahindra Holidays & Resorts India Limited,MHRIL
932,MIC Electronics Limited,MIC
933,Mishra Dhatu Nigam Limited,MIDHANI
934,Minda Corporation Limited,MINDACORP
935,Minda Industries Limited,MINDAIND
936,Mindteck (India) Limited,MINDTECK
937,MindTree Limited,MINDTREE
938,MIRC Electronics Limited,MIRCELECTR
939,Mirza International Limited,MIRZAINT
940,MM Forgings Limited,MMFL
941,MMTC Limited,MMTC
942,Modi Rubber Limited,MODIRUBBER
943,Mohit Industries Limited,MOHITIND
944,Mohota Industries Limited,MOHOTAIND
945,MOIL Limited,MOIL
946,Mold-Tek Technologies Limited,MOLDTECH
947,Mold-Tek Packaging Limited,MOLDTKPAC
948,Monte Carlo Fashions Limited,MONTECARLO
949,Morarjee Textiles Limited,MORARJEE
950,Morepen Laboratories Limited,MOREPENLAB
951,Motherson Sumi Systems Limited,MOTHERSUMI
952,Motilal Oswal Financial Services Limited,MOTILALOFS
953,The Motor & General Finance Limited,MOTOGENFIN
954,MphasiS Limited,MPHASIS
955,MPS Limited,MPSLTD
956,MRF Limited,MRF
957,MRO-TEK Realty Limited,MRO-TEK
958,Mangalore Refinery and Petrochemicals Limited,MRPL
959,MSP Steel & Power Limited,MSPL
960,Mstc Limited,MSTCLTD
961,MT Educare Limited,MTEDUCARE
962,Mahanagar Telephone Nigam Limited,MTNL
963,Mukand Engineers Limited,MUKANDENGG
964,Mukand Limited,MUKANDLTD
965,Mukta Arts Limited,MUKTAARTS
966,Munjal Auto Industries Limited,MUNJALAU
967,Munjal Showa Limited,MUNJALSHOW
968,Murudeshwar Ceramics Limited,MURUDCERA
969,Muthoot Capital Services Limited,MUTHOOTCAP
970,Muthoot Finance Limited,MUTHOOTFIN
971,MVL Limited,MVL
972,NACL Industries Limited,NACLIND
973,Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
974,Nagarjuna Oil Refinery Limited,NAGAROIL
975,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
976,Nagreeka Exports Limited,NAGREEKEXP
977,Nahar Capital and Financial Services Limited,NAHARCAP
978,Nahar Industrial Enterprises Limited,NAHARINDUS
979,Nahar Poly Films Limited,NAHARPOLY
980,Nahar Spinning Mills Limited,NAHARSPING
981,Natco Pharma Limited,NATCOPHARM
982,Nath Bio-Genes (India) Limited,NATHBIOGEN
983,National Aluminium Company Limited,NATIONALUM
984,National Steel And Agro Industries Limited,NATNLSTEEL
985,Info Edge (India) Limited,NAUKRI
986,Navin Fluorine International Limited,NAVINFLUOR
987,Navkar Corporation Limited,NAVKARCORP
988,Navneet Education Limited,NAVNETEDUL
989,NBCC (India) Limited,NBCC
990,N. B. I. Industrial Finance Company Limited,NBIFIN
991,Nava Bharat Ventures Limited,NBVENTURES
992,NCC Limited,NCC
993,NCL Industries Limited,NCLIND
994,Naga Dhunseri Group Limited,NDGL
995,Nandan Denim Limited,NDL
996,New Delhi Television Limited,NDTV
997,North Eastern Carrying Corporation Limited,NECCLTD
998,Nectar Lifesciences Limited,NECLIFE
999,Nelcast Limited,NELCAST
1000,NELCO Limited,NELCO
1001,Neogen Chemicals Limited,NEOGEN
1002,Nesco Limited,NESCO
1003,Nestle India Limited,NESTLEIND
1004,Network18 Media & Investments Limited,NETWORK18
1005,Neuland Laboratories Limited,NEULANDLAB
1006,Newgen Software Technologies Limited,NEWGEN
1007,Next Mediaworks Limited,NEXTMEDIA
1008,National Fertilizers Limited,NFL
1009,Narayana Hrudayalaya Ltd.,NH
1010,NHPC Limited,NHPC
1011,The New India Assurance Company Limited,NIACL
1012,NRB Industrial Bearings Limited,NIBL
1013,NIIT Limited,NIITLTD
1014,NIIT Technologies Limited,NIITTECH
1015,Nila Infrastructures Limited,NILAINFRA
1016,Nila Spaces Limited,NILASPACES
1017,Nilkamal Limited,NILKAMAL
1018,Indo-National Limited,NIPPOBATRY
1019,Niraj Ispat Industries Limited,NIRAJISPAT
1020,Nitco Limited,NITCO
1021,Nitin Fire Protection Industries Limited,NITINFIRE
1022,Nitin Spinners Limited,NITINSPIN
1023,NK Industries Limited,NKIND
1024,NLC India Limited,NLCINDIA
1025,NMDC Limited,NMDC
1026,NOCIL Limited,NOCIL
1027,Noida Toll Bridge Company Limited,NOIDATOLL
1028,Norben Tea & Exports Limited,NORBTEAEXP
1029,N R Agarwal Industries Limited,NRAIL
1030,NRB Bearing Limited,NRBBEARING
1031,Nalwa Sons Investments Limited,NSIL
1032,Neueon Towers Limited,NTL
1033,NTPC Limited,NTPC
1034,Nucleus Software Exports Limited,NUCLEUS
1035,NXTDIGITAL LIMITED,NXTDIGITAL
1036,Oriental Aromatics Limited,OAL
1037,Oberoi Realty Limited,OBEROIRLTY
1038,Oriental Carbon & Chemicals Limited,OCCL
1039,Oracle Financial Services Software Limited,OFSS
1040,Oil India Limited,OIL
1041,Oil Country Tubular Limited,OILCOUNTUB
1042,OCL Iron and Steel Limited,OISL
1043,Olectra Greentech Limited,OLECTRA
1044,Omax Autos Limited,OMAXAUTO
1045,Omaxe Limited,OMAXE
1046,Omkar Speciality Chemicals Limited,OMKARCHEM
1047,OM Metals Infraprojects Limited,OMMETALS
1048,Onelife Capital Advisors Limited,ONELIFECAP
1049,One Point One Solutions Limited,ONEPOINT
1050,Oil & Natural Gas Corporation Limited,ONGC
1051,OnMobile Global Limited,ONMOBILE
1052,Onward Technologies Limited,ONWARDTEC
1053,Optiemus Infracom Limited,OPTIEMUS
1054,Opto Circuits (India) Limited,OPTOCIRCUI
1055,Orbit Exports Limited,ORBTEXP
1056,Oricon Enterprises Limited,ORICONENT
1057,Orient Abrasives Limited,ORIENTABRA
1058,Oriental Trimex Limited,ORIENTALTL
1059,Oriental Bank of Commerce,ORIENTBANK
1060,Orient Bell Limited,ORIENTBELL
1061,Orient Cement Limited,ORIENTCEM
1062,Orient Electric Limited,ORIENTELEC
1063,Oriental Hotels Limited,ORIENTHOT
1064,Orient Press Limited,ORIENTLTD
1065,Orient Paper & Industries Limited,ORIENTPPR
1066,Orient Refractories Limited,ORIENTREF
1067,The Orissa Minerals Development Company Limited,ORISSAMINE
1068,Ortel Communications Limited,ORTEL
1069,Ortin Laboratories Limited,ORTINLABSS
1070,Oswal Agro Mills Limited,OSWALAGRO
1071,PAE Limited,PAEL
1072,Page Industries Limited,PAGEIND
1073,Paisalo Digital Limited,PAISALO
1074,Palash Securities Limited,PALASHSECU
1075,Palred Technologies Limited,PALREDTEC
1076,Panacea Biotec Limited,PANACEABIO
1077,Panama Petrochem Limited,PANAMAPET
1078,Huhtamaki PPL Limited,PAPERPROD
1079,Parabolic Drugs Limited,PARABDRUGS
1080,Paramount Communications Limited,PARACABLES
1081,Parag Milk Foods Limited,PARAGMILK
1082,Parsvnath Developers Limited,PARSVNATH
1083,Patel Engineering Limited,PATELENG
1084,Patel Integrated Logistics Limited,PATINTLOG
1085,Patspin India Limited,PATSPINLTD
1086,PC Jeweller Limited,PCJEWELLER
1087,Pudumjee Paper Products Limited,PDMJEPAPER
1088,Parenteral Drugs (India) Limited,PDPL
1089,PDS Multinational Fashions Limited,PDSMFL
1090,Pearl Polymers Limited,PEARLPOLY
1091,Piramal Enterprises Limited,PEL
1092,Pennar Industries Limited,PENIND
1093,Peninsula Land Limited,PENINLAND
1094,Persistent Systems Limited,PERSISTENT
1095,Petron Engineering Construction Limited,PETRONENGG
1096,Petronet LNG Limited,PETRONET
1097,Power Finance Corporation Limited,PFC
1098,Pfizer Limited,PFIZER
1099,Prime Focus Limited,PFOCUS
1100,PTC India Financial Services Limited,PFS
1101,PG Electroplast Limited,PGEL
1102,Procter & Gamble Hygiene and Health Care Limited,PGHH
1103,Procter & Gamble Health Limited,PGHL
1104,Pearl Global Industries Limited,PGIL
1105,Phillips Carbon Black Limited,PHILIPCARB
1106,The Phoenix Mills Limited,PHOENIXLTD
1107,Pidilite Industries Limited,PIDILITIND
1108,PI Industries Limited,PIIND
1109,Pilani Investment and Industries Corporation Limited,PILANIINVS
1110,PIL ITALICA LIFESTYLE LIMITED,PILITA
1111,Pioneer Distilleries Limited,PIONDIST
1112,Pioneer Embroideries Limited,PIONEEREMB
1113,Piramal Phytocare Limited,PIRPHYTO
1114,Pitti Engineering Limited,PITTIENG
1115,The Peria Karamalai Tea & Produce Company Limited,PKTEA
1116,Plastiblends India Limited,PLASTIBLEN
1117,Punjab National Bank,PNB
1118,PNB Gilts Limited,PNBGILTS
1119,PNB Housing Finance Limited,PNBHOUSING
1120,Pritish Nandy Communications Limited,PNC
